trial_id,resilience_profile,chaos_scenario,trial_num,started_at_utc,ended_at_utc,status,error_message,gatling_request_count,gatling_ok_count,gatling_ko_count,gatling_error_rate,gatling_p50_ms,gatling_p95_ms,gatling_p99_ms,gatling_mean_response_ms,gatling_mean_requests_per_sec,prometheus_error_rate,peak_process_cpu_usage,peak_jvm_heap_used_bytes,cb_recovery_time_seconds,cb_was_open_during_trial,gatling_report_dir
retry__partial_failure__07,retry,partial_failure,7,2026-07-08T14:31:56.813667+00:00,2026-07-08T14:37:48.013696+00:00,ok,,1493.0,1493.0,0.0,0.0,11119.0,12647.0,14718.0,10745.0,4.34,,0.0149140546006066,217055232.0,0.0153214580204803,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260708143203655
retry__partial_failure__08,retry,partial_failure,8,2026-07-08T14:37:58.029360+00:00,2026-07-08T14:43:50.294081+00:00,ok,,1467.0,1467.0,0.0,0.0,11168.0,13184.0,15144.0,10917.0,4.3,,0.0352201257861635,217055232.0,0.0063728329841978,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260708143807995
retry__partial_failure__09,retry,partial_failure,9,2026-07-08T14:44:00.301866+00:00,2026-07-08T14:49:50.884364+00:00,ok,,1480.0,1480.0,0.0,0.0,11203.0,12828.0,14905.0,10857.0,4.28,,0.0334759627485527,212860928.0,0.0113609579857438,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260708144404293
retry__partial_failure__10,retry,partial_failure,10,2026-07-08T14:50:00.905964+00:00,2026-07-08T14:56:02.529402+00:00,ok,,1477.0,1477.0,0.0,0.0,11203.0,12199.0,14216.0,10857.0,4.32,,0.0421940928270042,212860928.0,0.0068376660055946,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260708145018204
retry__partial_failure__11,retry,partial_failure,11,2026-07-08T14:56:12.537365+00:00,2026-07-08T15:02:01.167777+00:00,ok,,1492.0,1492.0,0.0,0.0,11150.0,12662.0,14362.0,10751.0,4.36,,0.0423493824048399,216006656.0,0.0264934169827029,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260708145617872
retry__partial_failure__12,retry,partial_failure,12,2026-07-08T15:02:11.173302+00:00,2026-07-08T15:08:08.409449+00:00,ok,,1455.0,1455.0,0.0,0.0,11257.0,13363.0,15060.0,11021.0,4.23,,0.0369181380417335,216006656.0,0.0286259579879697,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260708150222733
retry__partial_failure__13,retry,partial_failure,13,2026-07-08T15:08:18.420663+00:00,2026-07-08T15:14:07.968623+00:00,ok,,1467.0,1467.0,0.0,0.0,11279.0,13123.0,14971.0,10922.0,4.3,,0.0370090634441087,216006656.0,0.0138904160121455,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260708150825740
retry__partial_failure__14,retry,partial_failure,14,2026-07-08T15:14:17.977867+00:00,2026-07-08T15:20:06.293475+00:00,ok,,1469.0,1469.0,0.0,0.0,11261.0,13028.0,15229.0,10911.0,4.31,,0.0358432898027229,216006656.0,0.0409508330048993,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260708151423530
retry__partial_failure__15,retry,partial_failure,15,2026-07-08T15:20:16.306653+00:00,2026-07-08T15:26:12.456511+00:00,ok,,1469.0,1469.0,0.0,0.0,11239.0,13011.0,14850.0,10919.0,4.3,,0.0611620795107033,213909504.0,0.0436412499984726,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260708152028920
retry__partial_failure__16,retry,partial_failure,16,2026-07-08T15:26:22.467876+00:00,2026-07-08T15:32:19.113124+00:00,ok,,1483.0,1483.0,0.0,0.0,11146.0,12584.0,14722.0,10803.0,4.34,,0.0333678220382824,210763776.0,0.0104562090127728,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260708152635655
