scenario,metric,profile_a,profile_b,p_adj_holm,significant
latency_injection,peak_jvm_heap_used_bytes,bulkhead,none,9e-05,True
latency_injection,peak_jvm_heap_used_bytes,bulkhead,retry,0.11587,False
latency_injection,peak_jvm_heap_used_bytes,circuit-breaker,combined,0.0,True
latency_injection,peak_jvm_heap_used_bytes,circuit-breaker,none,0.11587,False
latency_injection,peak_jvm_heap_used_bytes,circuit-breaker,retry,9e-05,True
latency_injection,peak_jvm_heap_used_bytes,combined,none,0.0,True
latency_injection,peak_jvm_heap_used_bytes,combined,retry,9e-05,True
latency_injection,peak_jvm_heap_used_bytes,none,retry,0.11587,False
partial_failure,gatling_error_rate,bulkhead,circuit-breaker,0.63128,False
partial_failure,gatling_error_rate,bulkhead,combined,0.0,True
partial_failure,gatling_error_rate,bulkhead,none,0.00057,True
partial_failure,gatling_error_rate,bulkhead,retry,0.0,True
partial_failure,gatling_error_rate,circuit-breaker,combined,0.0,True
partial_failure,gatling_error_rate,circuit-breaker,none,0.01501,True
partial_failure,gatling_error_rate,circuit-breaker,retry,0.0,True
partial_failure,gatling_error_rate,combined,none,0.03123,True
partial_failure,gatling_error_rate,combined,retry,0.63128,False
partial_failure,gatling_error_rate,none,retry,0.0051,True
partial_failure,gatling_p99_ms,bulkhead,circuit-breaker,0.15904,False
partial_failure,gatling_p99_ms,bulkhead,combined,0.00167,True
partial_failure,gatling_p99_ms,bulkhead,none,0.00387,True
partial_failure,gatling_p99_ms,bulkhead,retry,0.00278,True
partial_failure,gatling_p99_ms,circuit-breaker,combined,0.0,True
partial_failure,gatling_p99_ms,circuit-breaker,none,0.34434,False
partial_failure,gatling_p99_ms,circuit-breaker,retry,0.0,True
partial_failure,gatling_p99_ms,combined,none,0.0,True
partial_failure,gatling_p99_ms,combined,retry,0.85513,False
partial_failure,gatling_p99_ms,none,retry,0.0,True
partial_failure,gatling_mean_requests_per_sec,bulkhead,circuit-breaker,0.51191,False
partial_failure,gatling_mean_requests_per_sec,bulkhead,combined,0.00016,True
partial_failure,gatling_mean_requests_per_sec,bulkhead,none,0.04525,True
partial_failure,gatling_mean_requests_per_sec,bulkhead,retry,0.00024,True
partial_failure,gatling_mean_requests_per_sec,circuit-breaker,combined,0.0,True
partial_failure,gatling_mean_requests_per_sec,circuit-breaker,none,0.51191,False
partial_failure,gatling_mean_requests_per_sec,circuit-breaker,retry,0.0,True
partial_failure,gatling_mean_requests_per_sec,combined,none,0.0,True
partial_failure,gatling_mean_requests_per_sec,combined,retry,0.89145,False
partial_failure,gatling_mean_requests_per_sec,none,retry,0.0,True
partial_failure,peak_process_cpu_usage,bulkhead,circuit-breaker,0.02378,True
partial_failure,peak_process_cpu_usage,bulkhead,combined,0.0152,True
partial_failure,peak_process_cpu_usage,bulkhead,none,0.0,True
partial_failure,peak_process_cpu_usage,bulkhead,retry,0.46944,False
partial_failure,peak_process_cpu_usage,circuit-breaker,combined,0.84445,False
partial_failure,peak_process_cpu_usage,circuit-breaker,none,0.0086,True
partial_failure,peak_process_cpu_usage,circuit-breaker,retry,0.46944,False
partial_failure,peak_process_cpu_usage,combined,none,0.01479,True
partial_failure,peak_process_cpu_usage,combined,retry,0.43635,False
partial_failure,peak_process_cpu_usage,none,retry,3e-05,True
partial_failure,peak_jvm_heap_used_bytes,bulkhead,circuit-breaker,0.0,True
partial_failure,peak_jvm_heap_used_bytes,bulkhead,combined,0.06539,False
partial_failure,peak_jvm_heap_used_bytes,bulkhead,none,3e-05,True
partial_failure,peak_jvm_heap_used_bytes,bulkhead,retry,0.06573,False
partial_failure,peak_jvm_heap_used_bytes,circuit-breaker,combined,0.0,True
partial_failure,peak_jvm_heap_used_bytes,circuit-breaker,none,0.44488,False
partial_failure,peak_jvm_heap_used_bytes,circuit-breaker,retry,0.01122,True
partial_failure,peak_jvm_heap_used_bytes,combined,none,0.0,True
partial_failure,peak_jvm_heap_used_bytes,combined,retry,2e-05,True
partial_failure,peak_jvm_heap_used_bytes,none,retry,0.06573,False
cascading_failure,gatling_error_rate,bulkhead,circuit-breaker,1.0,False
cascading_failure,gatling_error_rate,bulkhead,combined,0.0,True
cascading_failure,gatling_error_rate,bulkhead,none,0.00525,True
cascading_failure,gatling_error_rate,bulkhead,retry,0.0,True
cascading_failure,gatling_error_rate,circuit-breaker,combined,0.0,True
cascading_failure,gatling_error_rate,circuit-breaker,none,0.00525,True
cascading_failure,gatling_error_rate,circuit-breaker,retry,0.0,True
cascading_failure,gatling_error_rate,combined,none,0.00651,True
cascading_failure,gatling_error_rate,combined,retry,1.0,False
cascading_failure,gatling_error_rate,none,retry,0.00281,True
cascading_failure,gatling_p99_ms,bulkhead,circuit-breaker,1.0,False
cascading_failure,gatling_p99_ms,bulkhead,combined,1e-05,True
cascading_failure,gatling_p99_ms,bulkhead,none,1.0,False
cascading_failure,gatling_p99_ms,bulkhead,retry,0.0,True
cascading_failure,gatling_p99_ms,circuit-breaker,combined,0.0,True
cascading_failure,gatling_p99_ms,circuit-breaker,none,1.0,False
cascading_failure,gatling_p99_ms,circuit-breaker,retry,0.0,True
cascading_failure,gatling_p99_ms,combined,none,0.0,True
cascading_failure,gatling_p99_ms,combined,retry,1.0,False
cascading_failure,gatling_p99_ms,none,retry,0.0,True
cascading_failure,gatling_mean_requests_per_sec,bulkhead,circuit-breaker,1.0,False
cascading_failure,gatling_mean_requests_per_sec,bulkhead,combined,0.0,True
cascading_failure,gatling_mean_requests_per_sec,bulkhead,none,0.13675,False
cascading_failure,gatling_mean_requests_per_sec,bulkhead,retry,0.0,True
cascading_failure,gatling_mean_requests_per_sec,circuit-breaker,combined,0.0,True
cascading_failure,gatling_mean_requests_per_sec,circuit-breaker,none,0.13675,False
cascading_failure,gatling_mean_requests_per_sec,circuit-breaker,retry,0.0,True
cascading_failure,gatling_mean_requests_per_sec,combined,none,0.0002,True
cascading_failure,gatling_mean_requests_per_sec,combined,retry,1.0,False
cascading_failure,gatling_mean_requests_per_sec,none,retry,0.00022,True
cascading_failure,peak_process_cpu_usage,bulkhead,circuit-breaker,1.0,False
cascading_failure,peak_process_cpu_usage,bulkhead,combined,0.33872,False
cascading_failure,peak_process_cpu_usage,bulkhead,none,0.0,True
cascading_failure,peak_process_cpu_usage,bulkhead,retry,0.99185,False
cascading_failure,peak_process_cpu_usage,circuit-breaker,combined,1.0,False
cascading_failure,peak_process_cpu_usage,circuit-breaker,none,2e-05,True
cascading_failure,peak_process_cpu_usage,circuit-breaker,retry,1.0,False
cascading_failure,peak_process_cpu_usage,combined,none,0.00199,True
cascading_failure,peak_process_cpu_usage,combined,retry,1.0,False
cascading_failure,peak_process_cpu_usage,none,retry,0.00017,True
cascading_failure,peak_jvm_heap_used_bytes,bulkhead,circuit-breaker,0.0,True
cascading_failure,peak_jvm_heap_used_bytes,bulkhead,combined,0.11532,False
cascading_failure,peak_jvm_heap_used_bytes,bulkhead,none,9e-05,True
cascading_failure,peak_jvm_heap_used_bytes,bulkhead,retry,0.11532,False
cascading_failure,peak_jvm_heap_used_bytes,circuit-breaker,combined,0.0,True
cascading_failure,peak_jvm_heap_used_bytes,circuit-breaker,none,0.11532,False
cascading_failure,peak_jvm_heap_used_bytes,circuit-breaker,retry,9e-05,True
cascading_failure,peak_jvm_heap_used_bytes,combined,none,0.0,True
cascading_failure,peak_jvm_heap_used_bytes,combined,retry,9e-05,True
cascading_failure,peak_jvm_heap_used_bytes,none,retry,0.11532,False
